epoch,loss_d,loss_g
1001,0.17190568169226517,5.459352899242091
1002,0.17219770921243205,5.431265901874852
1003,0.1727254173240146,5.402727236618867
1004,0.1729910275017893,5.390108894657445
1005,0.1737059254098583,5.348528082306321
1006,0.1738170171911652,5.33466598794267
1007,0.17420163931878838,5.303999520636894
1008,0.17288642255841075,5.377012684538558
1009,0.17202022409922368,5.453795954987809
1010,0.1728541075780585,5.373902230649381
1011,0.17168336321373243,5.45619393039394
1012,0.17093250598456408,5.5137148161192195
1013,0.17094933080512123,5.522809144612905
1014,0.1713563383028314,5.502014965624423
1015,0.17165521210109866,5.471915451256004
1016,0.1717362917355589,5.483166063154066
1017,0.17184144298772555,5.453107563224998
1018,0.1715790164229032,5.49824655378187
1019,0.17188596806010684,5.466357018496539
1020,0.1728864741083738,5.424659690341434
1021,0.1738170055118767,5.368020334759274
1022,0.1739893082428623,5.37256113258568
1023,0.1742272133360038,5.298515577574034
1024,0.17378945467439857,5.3469134536949365
1025,0.17331421596778407,5.355629424791078
1026,0.1716715204151901,5.454963974050574
1027,0.17095199025966026,5.518782280586861
1028,0.17127405630575643,5.525762970383103
1029,0.17193025229750453,5.462115229787053
1030,0.17198421645003395,5.479455181070276
1031,0.17178874623936577,5.487165393056096
1032,0.1715382927575627,5.486342765189506
1033,0.17148628146261782,5.490405759295902
1034,0.17127410443247976,5.516363962276562
1035,0.17266690408861315,5.433722786001257
1036,0.17297789957877752,5.41383560283764
1037,0.17313543042621096,5.392604995418239
1038,0.173192751971451,5.401015906720548
1039,0.17276019884927854,5.4307068940755485
1040,0.17235196079756762,5.4252805387651595
1041,0.17267855679666674,5.433206551783794
1042,0.17333274435352636,5.391039171734372
1043,0.1722828685431867,5.426203695503441
1044,0.1723048453395431,5.472454013051213
1045,0.17201650283626607,5.462470421919951
1046,0.17121388884009542,5.499334167789769
1047,0.17116652308283625,5.537624752199328
1048,0.170753351941302,5.554631845371143
1049,0.1705460777959308,5.582652968329352
1050,0.17119551349330592,5.521982495849197
1051,0.17173391761812004,5.500357917837195
1052,0.1719757864201391,5.477675431483501
1053,0.1722053516958211,5.484125137329102
1054,0.17278805455645999,5.410467347583255
1055,0.17271114040065455,5.453060813852258
1056,0.17247498357618177,5.437320155066413
1057,0.17206044313875404,5.471787194947939
1058,0.17274457256536227,5.428217559247403
1059,0.17182469690168226,5.4880002833701464
1060,0.1714986395594236,5.530856970194224
1061,0.17142245918512344,5.53183219883893
1062,0.17187198855586955,5.498551723119375
1063,0.1720221650761527,5.492274213481593
1064,0.17278757328922684,5.456537916853621
1065,0.17305054837787473,5.431422214250307
1066,0.171923937225664,5.486022053538142
1067,0.1713278736617114,5.506048511814427
1068,0.17118828602739283,5.55292879568564
1069,0.17093042868214683,5.535511377695444
1070,0.17083816250433792,5.590437715117996
1071,0.17181079150051684,5.504997027886881
1072,0.17136186602953318,5.544523935060243
1073,0.17218618256014748,5.495392045459232
1074,0.17377203884156975,5.402913190223075
1075,0.17284463990379023,5.437757833583935
1076,0.1732583527226706,5.423316485172993
1077,0.1756970139371382,5.2913192671698495
1078,0.1738105474694355,5.378489339673841
1079,0.17138149408069817,5.4971612724098
1080,0.17112994435671214,5.537539437010482
1081,0.17061084790809736,5.592978000640869
1082,0.1704198657660871,5.603933153925715
1083,0.1708086036347054,5.566813436714378
1084,0.17086824331734632,5.593779222385304
1085,0.1712976398097502,5.565553214098956
1086,0.17132991874540174,5.549068380046535
1087,0.17334510446400256,5.4147579927702205
1088,0.1725444556088061,5.460178607218975
1089,0.17143789114984306,5.527552707775219
1090,0.17028802673558932,5.6082203774838835
1091,0.17022963492451487,5.633155951628813
1092,0.17212799070654689,5.563124669564737
1093,0.17277669685112462,5.478447456617613
1094,0.17201313195196358,5.516304190094407
1095,0.17188359797000885,5.522304618680799
1096,0.17217698532181816,5.489049795511606
1097,0.17318915595879425,5.403141479234438
1098,0.17203693192552877,5.5102493118595435
1099,0.17124696015506177,5.549894075135927
1100,0.17074629161003474,5.606279224962802
1101,0.1707571575770507,5.5795120741869955
1102,0.17049222399254102,5.612866627203451
1103,0.17068660863347956,5.611997365951538
1104,0.17252949444023338,5.487301755595851
1105,0.17272225525733587,5.501421296918714
1106,0.17181472379613566,5.511821115339124
1107,0.17130001795452995,5.556424308467555
1108,0.17138909568657745,5.554009276467401
1109,0.1716170459985733,5.548742326530251
1110,0.17165169280928536,5.5322936741081445
1111,0.1706159237671543,5.615914125700255
1112,0.1703842725302722,5.624255238352595
1113,0.17079059276226405,5.620876234930915
1114,0.17117842004911318,5.580891003479829
1115,0.1714843811618315,5.561026502299953
1116,0.30705947126891164,4.825747540673694
1117,0.18167708310726527,4.53574006621902
1118,0.17119515888594292,4.981611496693379
1119,0.16745852296416824,5.2495353672955485
1120,0.1660349157613677,5.43868892257278
1121,0.1654037043854997,5.563198115374591
1122,0.16494091861956828,5.692408097756876
1123,0.16475730026895935,5.760512796608177
1124,0.16460642661597277,5.831571450104585
1125,0.1644110381603241,5.9346026987642855
1126,0.164361834526062,5.9684202606613574
1127,0.16431602755108396,6.018272515889761
1128,0.16430364931757385,6.059950242171416
1129,0.1643429034062334,6.085716060689978
1130,0.1644070738473454,6.113181977658658
1131,0.1645744394611668,6.135464919579996
1132,0.1649263938133781,6.133179877255414
1133,0.16537794732564204,6.122861610876547
1134,0.16615951645213203,6.0639672150483
1135,0.1670183189011909,5.982459512916771
1136,0.16885416733252034,5.810807537388158
1137,0.169810306985636,5.752090363889127
1138,0.16958486530426387,5.758043140978427
1139,0.16963997402706663,5.754671895826185
1140,0.17018608628092585,5.687701586130503
1141,0.1706534360308905,5.67195742194717
1142,0.17076875027772542,5.646487525991492
1143,0.1713109491644679,5.590688705444336
1144,0.17093784100300558,5.609464619610761
1145,0.17047252405334162,5.658935321343912
1146,0.17019921017659678,5.6634775045755745
1147,0.17046008621518677,5.665724464364954
1148,0.1706875200207169,5.659184533196527
1149,0.17058589792734868,5.654610988256094
1150,0.17098151872286926,5.592979102521329
1151,0.17123866866569262,5.6010454603143645
1152,0.17123825445368485,5.6005732819840714
1153,0.17118827032076345,5.588877207524067
1154,0.17091373515290184,5.630199554804209
1155,0.17070977691863035,5.62793256141044
1156,0.17184555027130488,5.55131305875005
1157,0.17328893916832433,5.453997199599807
1158,0.17242409188199687,5.4872407591020735
1159,0.17142246462203362,5.576559240753586
1160,0.17194197890726295,5.517470192264867
1161,0.1725562982059814,5.513952719198691
1162,0.17214501991465286,5.544986943940859
1163,0.17135764255716995,5.5591324600013525
1164,0.17033778634425756,5.632130642195006
1165,0.17035886987641052,5.647014779013556
1166,0.17045225082217036,5.659690328546472
1167,0.1707771915841747,5.636726708025546
1168,0.171601564094827,5.56465871914013
1169,0.17135717437879458,5.566977378484365
1170,0.1708229226437775,5.608640464576515
1171,0.17096879111753926,5.609930573283015
1172,0.17090173065662384,5.611996566927111
1173,0.17149699439068097,5.597814624373977
1174,0.17215368493988709,5.500616904851553
1175,0.171933114528656,5.549594569850612
1176,0.17154162236162135,5.582673846064387
1177,0.17079702341878736,5.603527848784988
1178,0.1703449425262374,5.6607315991375895
1179,0.17046585880421303,5.674212919699179
1180,0.1705359478254576,5.656741947741122
1181,0.17102515878709587,5.597289768425194
1182,0.17109525948762894,5.614797450400688
1183,0.171003627616006,5.636685584042524
1184,0.17093402952761264,5.609137419107798
1185,0.1713660778226079,5.596530373032029
